Date,Teams,Opposition,Venue,Toss_Winner,Toss_Decision,Match_Winner,Win_Type,Win_Margin,First_Innings_Score,Second_Innings_Score,Player_of_Match,Umpire,Umpire1,Umpire2,Powerplay_Scores,Middle_Overs_Scores,Death_Overs_Scores
5/23/2008,Punjab,Delhi,"Punjab Cricket Association Stadium, Mohali",Punjab,field,Punjab,wickets,6,175,178,SE Marsh,Asad Rauf,SJ Davis,Talat Ali,42,80,53
5/24/2008,Delhi,Mumbai,Feroz Shah Kotla,Delhi,field,Delhi,wickets,5,176,179,KD Karthik,BF Bowden,K Hariharan,CH Lloyd,60,68,48
5/24/2008,Chennai,Rajasthan,"MA Chidambaram Stadium, Chepauk",Rajasthan,bat,Rajasthan,runs,10,211,201,JA Morkel,DJ Harper,SL Shastri,J Srinath,67,107,37
05-03-2008,RCB,Delhi,M Chinnaswamy Stadium,Delhi,field,RCB,runs,3,156,153,P Kumar,BR Doctrove,SL Shastri,Talat Ali,46,76,34
5/25/2008,Kolkata,Punjab,Eden Gardens,Punjab,bat,Kolkata,wickets,3,174,175,Umar Gul,SJ Davis,I Shivram,S Venkataraghavan,47,93,34
5/26/2008,Rajasthan,Mumbai,Sawai Mansingh Stadium,Rajasthan,field,Rajasthan,wickets,5,145,146,Sohail Tanvir,BF Bowden,K Hariharan,CH Lloyd,29,77,39
5/27/2008,Delhi,Chennai,"Rajiv Gandhi International Stadium, Uppal",Delhi,bat,Chennai,wickets,7,147,148,SK Raina,BG Jerling,AM Saheba,Talat Ali,26,78,43
5/30/2008,Delhi,Rajasthan,Wankhede Stadium,Delhi,field,Rajasthan,runs,105,192,87,SR Watson,BF Bowden,RE Koertzen,J Srinath,58,97,37
5/31/2008,Chennai,Punjab,Wankhede Stadium,Punjab,bat,Chennai,wickets,9,112,116,M Ntini,Asad Rauf,DJ Harper,S Venkataraghavan,35,38,39
06-01-2008,Chennai,Rajasthan,Dr DY Patil Sports Academy,Rajasthan,field,Rajasthan,wickets,3,163,164,YK Pathan,BF Bowden,RE Koertzen,J Srinath,42,85,36
